STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col
26,"WELL AT GRAM PANCHAYAT OFFICE, KAANURU,
VIJAYWADA",ANDHRA PRADESH,25,7.6,1624,1.1,3.65,2,400
1513,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43
AUTONAGAR VIJJAYAWADA",ANDHRA PRADESH,26,7.85,1682.5,1.1,3.15,2,600
1514,"BOREWELL VIJAY KUMAR AUTONAGAR
VIJAYAWADA",ANDHRA PRADESH,25,7.4,1862,1.3,2.4,2,400
1516,"BOREWELL OF NAVLOK GARDENS, NELLORE",ANDHRA PRADESH,25,8.15,1502.5,1.1,16.1,2,600
1517,BOREWELL NEAR TUNGBHADRA KURNOOL,ANDHRA PRADESH,24,7.4,4920,1.25,9.45,2,2
1518,BOREWELL AT NANDYAL (KUNDU),ANDHRA PRADESH,24.5,7.3,6160,1.4,18.6,2,2
1519,BOREWELL AT NAGIRI,ANDHRA PRADESH,28.5,7.45,2150,1.25,14.75,2,2
1520,"BOREWELL NEAR SWARNAMUKHI AT
SRIKALAHASTI",ANDHRA PRADESH,28,7.45,845,1.25,10.7,2,2
1521,"OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 ,
MINDI , VISAKHAPATNAM",ANDHRA PRADESH,26.5,7.5,2146.5,1.3,8.55,18,460
1522,OPEN WELL PEDDANUVVI - VIZIANAGARAM,ANDHRA PRADESH,27,7.5,544.5,1.55,0.65,12,180
1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD. ,
KOVVUR",ANDHRA PRADESH,26,7.5,412.5,1.3,2,9,112.5
1524,"OPEN WELL NEAR PARTAP NAGAR BRIDGE -
KAKINADA",ANDHRA PRADESH,28,7.5,1437,1.35,2.95,10,130
3087,"BORE WELL NEAR VILLAGE SECRETARIAT,
PATHAPADU (V)",ANDHRA PRADESH,26,7.75,1762,1.4,5.55,2,800
3089,"HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM",ANDHRA PRADESH,28.5,7.9,2334.5,1.15,11.45,18,350
3090,"HAND PUMP AT PITTAVANIPALEM,
VISHAKHAPATNAM",ANDHRA PRADESH,28.5,7.1,2493.5,1.6,11.05,13,160
3091,"BORE WELL AT KAPULUPPADA DUMPSITE,
VISHAKHAPATNAM",ANDHRA PRADESH,28.5,7.5,3734.5,1.8,7.05,10,350
3092,"BORE WELL AT ARINAMA AKKIVALASA,
SRIKAKULAM",ANDHRA PRADESH,28,7.5,1026.5,1.5,6.5,13,150
3093,"BORE WELL AT ALLADAPALEM VILLAGE,
PYDIBHIMAVARAM",ANDHRA PRADESH,30,7,1822.5,1.1,9.65,10,142.5
1533,"DIGBOI, TINSUKIA DISTT., ASSAM",ASSAM,20,6.05,246.5,1.8,0.35,2,2
1534,"KARBI ANGLONG DISTT., ASSAM",ASSAM,26,5.9,672.5,2.2,0.4,2,2
1535,"SIBSAGAR GOVT ME SCHOOL WARD 6, RED
CROSS ROAD , ASSAM",ASSAM,24.5,7.1,214.5,1.35,1.25,2,2
1536,"NEAR BPMS H.S. SCHOOL SONARI TOWN DIST
CHARAIDEO",ASSAM,23.5,6.85,222.5,1.55,0.35,2,2
1537,"*(JORHAT, ASSAM",ASSAM,28,7.2,320.5,2.05,0.9,2,2
1538,"*SILCHAR, ASSAM",ASSAM,24,6,107.5,1.25,3.05,2,2
1539,"*BARPETA, ASSAM",ASSAM,28,7.15,401,1.25,0.45,2,2
1540,"*BONAIGAON, ASSAM",ASSAM,27,7.2,117.5,1.15,2.55,2,2
1541,"NOONMATI GUWAHATI, ASSAM",ASSAM,27.5,6.6,251.5,1.5,0.9,2,2
1542,"NEAR SIJUBARI MAZAR, NATBOMA HATIGAON",ASSAM,28,7.25,410.5,1.4,0.3,2,2
2243,"GROUND WATER FROM LEDO, MARGHERITA,
ASSAM",ASSAM,20,5.45,190,1.5,0.45,2,2
2244,"GROUND WATER FROM NAZIRA, ASSAM",ASSAM,23.5,7.25,250,1.2,1.15,2,2
2245,"GROUND WATER FROM NUMALIGARH (NEAR
NRL TE LABOR COLONY), ASSAM",ASSAM,27.5,5.65,135,1.95,0.3,2,2
2246,"GROUND WATER FROM SEMENCHAPARI, ASSAM",ASSAM,18.5,6.95,131,1.15,0.5,2,2
2247,"GROUND WATER FROM SILAPATHAR, ASSAM",ASSAM,19.5,6.35,242,4.7,1.25,2,2
2248,"GROUND WATER FROM LAKHIMPUR TOWN,
ASSAM",ASSAM,26,5.95,183,2.5,4.9,2,2
